Category,Model,Rating,master_item_number,manu,part_number,upc,Description,price,vendor,effective_date
FU,J,600-3P,207-0640,LITTLEFUSE,LFJ60600-3C,79458181906,"600A, 600V, Fuse Holder 3 Pole Class J Fuseblock","1,127.99",Rexel,6/30/2025
FU,J,30A-1P,,LITTLEFUSE,LFJ60030FBC,,"30A, 600V, Fuse Holder Accessories Class J Fuse Block Cover",18.93,Rexel,6/24/2025
FU,J,60A-1P,,LITTLEFUSE,LFJ60060FBC,,"60A, 600V, Fuse Holder Accessories Class J Fuse Block Cover",23.46,Rexel,6/24/2025
FU,J,100A-1P,,LITTLEFUSE,LFJ60100FBC,,"100A, 600V, Fuse Holder Accessories Class J Fuse Block Cover",26.55,Rexel,6/24/2025
FU,J,400-A,,n/a,Plexiglass,,Custom Plexi-glass shroud,200,n/a,6/24/2025
FU,CC,3,204-3634,LITTLEFUSE,CCMR003.TXP,,"Class CC Fuse,  600V AC/DC, 3A, Time-Delay",10.11,Rexel,6/24/2025
FU,CC,5,207-1988,LITTLEFUSE,CCMR005.TXP,,"Class CC Fuse,  600V AC/DC, 5A, Time-Delay",10.11,Rexel,6/24/2025
FU,CC,7,204-8058,LITTLEFUSE,CCMR007.TXP,,"Class CC Fuse,  600V AC/DC, 7A, Time-Delay",10.11,Rexel,6/24/2025
FU,CC,10,201-1065,LITTLEFUSE,CCMR010.TXP,,"Class CC Fuse,  600V AC/DC, 10A, Time-Delay",10.21,Rexel,6/24/2025
FU,CC,12,204-6607,LITTLEFUSE,CCMR012.TXP,,"Class CC Fuse,  600V AC/DC, 12A, Time-Delay",10.21,Rexel,6/24/2025
FU,CC,15,201-1059,LITTLEFUSE,CCMR015.TXP,,"Class CC Fuse,  600V AC/DC, 15A, Time-Delay",10.21,Rexel,6/24/2025
FU,CC,25,206-6993,LITTLEFUSE,CCMR025.TXP,,"Class CC Fuse,  600V AC/DC, 25A, Time-Delay",10.21,Rexel,6/24/2025
FU,CC,30,205-0189,LITTLEFUSE,CCMR030.TXP,,"Class CC Fuse,  600V AC/DC, 30A, Time-Delay",10.21,Rexel,6/24/2025
FU,CC,30,204-3633,AB,1492-FB2C30-L,,"Fuse Holder, Class CC Type Fuses, 2-Pole, 30 Amp, 110 - 600 Volt, with LED Blown Fuse Indicator",37.48,Rexel,6/24/2025
FU,CC,30,,AB,1492-FB1C30-D1,,"Fuse Holder, Class CC Type Fuses, 1-Pole, 30 Amp, 12 - 72 Volt, with Led Blown Fuse Indicator",18.23,Rexel,6/24/2025
FU,J,60,,AB,1492-FB1J60-L,,"Fuse Holder, Class J Type Fuses, 1 Pole, 60 Amp, 110 - 600 Volt, with LED Blown Fuse Indicator",33.73,Rexel,6/24/2025
XR,1321,8A,206-0393,AB,1321-3R8-B,,"Reactor, Line Input, Line Output, 8 Amp, 3.0 mh, 3 to 5 % Impedance, for 200 thru 690 Volt AC, 3-Phase",178.12,Rexel,6/24/2025
XR,1321,12A,206-2970,AB,1321-3R12-B,,"Reactor, Line Input, Line Output, 3 - 5 % Impedance, 12 Amp, 2.5 mh, for 200 thru 690 Volt AC, 3-Phase",204.66,Rexel,6/24/2025
XR,1321,18A,206-0395,AB,1321-3R18-B,,"Reactor, Line Input, Line Output, 3 to 5 % Impedance, 18 Amp, 1.2 mh, for 200 thru 690 Volt AC, 3-Phase",252.6,Rexel,6/24/2025
XR,1321,25A,206-2072,AB,1321-3R25-B,,"Reactor, Line Input, Line Output, 3 - 5 % Impedance, 25 Amp, 1.2 mh, for 200 thru 690 Volt AC, 3-Phase",296.29,Rexel,6/24/2025
XR,1321,35A,205-8208,AB,1321-3R35-B,,"Reactor, Line Input, Line Output, 3 to 5 % Impedance, 35 Amp, 0.8 mh, for 200 thru 690 Volt AC, 3-Phase",309.12,Rexel,6/24/2025
XR,1321,45A,206-8289,AB,1321-3R45-B,,"Reactor, Line Input, Line Output, 3 to 5 % Impedance, 45 Amp, 0.7 mh, for 200 thru 690 Volt AC, 3-Phase, Open",418.19,Rexel,6/24/2025
XR,1321,55A,206-9379,AB,1321-3R55-B,,"Reactor, Line Input, Line Output, 3 to 5 % Impedance, 55 Amp, 0.5 mh, for 200 thru 690 Volt AC, 3-Phase, Open",426.43,Rexel,6/24/2025
XR,1321,80A,206-4408,AB,1321-3R80-B,,"Reactor, Line Input, Line Output, 3 to 5 % Impedance, 80 Amp, 0.4 mh, for 200 thru 690 Volt AC, 3-Phase",560.86,Rexel,6/24/2025
XR,1321,100A,-,AB,1321-3R100-B,,"Reactor, Line Input, Line Output, 3 - 5 % Impedance, 100 Amp, 0.3 mh, for 200 thru 690 Volt AC, 3-Phase, Open",704.73,Rexel,6/24/2025
XR,1321,130A,206-3099,AB,1321-3R130-B,,"Reactor, Line Input, Line Output, 3 - 5 % Impedance, 130 Amp, 0.2 mh, for 200 thru 690 Volt AC, 3-Phase, Open",796.35,Rexel,6/24/2025
XR,1321,160A,-,AB,1321-3R160-B,,"Reactor, Line Input, Line Output, 3 - 5 % Impedance, 160 Amp, 0.15 mh, for 200 thru 690 Volt AC, 3-Phase, Open","1,219.85",Rexel,6/24/2025
XR,1321,200A,206-6732,AB,1321-3R200-B,,"Reactor, Line Input, Line Output, 3 to 5 % Impedance, 200 Amp, 1.2 mh, for 200 thru 690 Volt AC, 3-Phase",998.2,Rexel,6/24/2025
XR,1321,250A,206-3094,AB,1321-3RB250-B,,"Reactor, Line Input, Line Output","1,393.09",Rexel,6/24/2025
XR,1321,320A,207-3214,AB,1321-3RB320-B,,"Line Reactor, Open Style Enclosure, with Flag Terminals, 320 Amps, 0.075 mh","1,554.72",Rexel,6/24/2025
DBR,,,207-3024,POWEROHM,PF150R800W,,BRAKING RESISTOR 150 OHMS/800 WATTS,248.38,Rexel,6/24/2025
DBR,,,207-2990,POWEROHM,PF100R800W,,BRAKING RESISTOR 100 OHMS/800 WATTS,248.38,Rexel,6/24/2025
DBR,,,-,POWEROHM,PF80R1K2,,BRAKING RESISTOR 80 OHMS/1200 WATTS,325.32,Rexel,6/24/2025
DBR,,,206-2071,POWEROHM,PF40R1K60,,BRAKING RESISTOR 40 OHMS/1600 WATTS,404.22,Rexel,6/24/2025
DBR,,,206-1499,POWEROHM,PF40R2K00,,BRAKING RESISTOR 40 OHMS/2000 WATTS,481.16,Rexel,6/24/2025
DBR,,,206-1446,POWEROHM,PF32R2K40,,BRAKING RESISTOR 32 OHMS/2400 WATTS,559.09,Rexel,6/24/2025
DBR,,,207-1898,POWEROHM,PF28R2K80,,BRAKING RESISTOR 28 OHMS/2800 WATTS,637.97,Rexel,6/24/2025
DBR,,,205-1743,POWEROHM,PF19R4K86,,BRAKING RESISTOR 19 OHMS/4860 WATTS,768.5,Rexel,6/24/2025
DBR,,,207-3089,POWEROHM,PF13R5K45,,BRAKING RESISTOR 13 OHMS/5450WATTS,768.5,Rexel,6/24/2025
DBR,,,-,POWEROHM,PF11F5R7K77,,BRAKING RESISTOR 11.5 OHMS/7770WATTS,"1,147.39",Rexel,6/24/2025
DBR,,,206-1730,POWEROHM,PF7R9K30,,BRAKING RESISTOR 7.1 OHMS/9300WATTS,"1,477.57",Rexel,6/24/2025
DBR,,,-,POWEROHM,PF5F1R10K7,,BRAKING RESISTOR 5.1 OHMS/10700WATTS,"1,350.96",Rexel,6/24/2025
DBR,,,-,POWEROHM,PF5F1R13K7,,BRAKING RESISTOR 5.1 OHMS/13700WATTS,"1,685.04",Rexel,6/24/2025
DBR,,,-,POWEROHM,PF3F3R21K4,,BRAKING RESISTOR 3.3 OHMS/21400WATTS,"2,131.10",Rexel,6/24/2025
DBR,,,-,POWEROHM,PF3F3R24K9,,BRAKING RESISTOR 3.3 OHMS/24900WATTS,"3,643.79",Rexel,6/24/2025
COMM,Cat 6,RJ45,,PANDUIT,FP6X88MTG,,"TX6A, Category 6A UTP Field Terminal RJ45 Plug",21.2,Rexel,6/24/2025
COMM,CAT6,Cable,,,CAT6,,Ft. of Generic CAT6 Cable,1,-,6/24/2025
COMM,5200,20-Port,207-7329,AB,1783-CM20DP,,Stratix 5200 20 Port Switch,"3,109.25",Rexel,6/24/2025
COMM,2000,8-Port,203-9270,AB,1783-US8T,,"Stratix 2000, Unmanaged, 8 Port Switch, RJ45 Copper Ports",206.44,Rexel,6/30/2025
COMM,N-Tron,16,,RED LION,516TX-A,,,"1,628",?,6/24/2025
MCCB-MAG,140MG,3A,,AB,140MG-G8P-B30,,"Breaker, Molded Case, 3A, G Frame, 480VAC, 65kAIC, Magnetic Only",527.74,Rexel,6/24/2025
MCCB-MAG,140MG,7A,,AB,140MG-G8P-B70,,"Breaker, Molded Case, 7A, G Frame, 480VAC, 65kAIC, Magnetic Only",527.74,Rexel,6/24/2025
MCCB-MAG,140MG,15A,,AB,140MG-G8P-C15,,"Breaker, Molded Case, 15A, G Frame, 480VAC, 65kAIC, Magnetic Only",527.74,Rexel,6/24/2025
MCCB-MAG,140MG,30A,,AB,140MG-G8P-C30,,"Breaker, Molded Case, 30A, G Frame, 480VAC, 65kAIC, Magnetic Only",527.74,Rexel,6/24/2025
MCCB-MAG,140MG,50A,,AB,140MG-G8P-C50,,"Breaker, Molded Case, 50A, G Frame, 480VAC, 65kAIC, Magnetic Only",527.74,Rexel,6/24/2025
MCCB-MAG,140MG,80A,,AB,140MG-G8P-C80,,"Breaker, Molded Case, 80A, G Frame, 480VAC, 65kAIC, Magnetic Only",807.98,Rexel,6/24/2025
MCCB-MAG,140MG,100A,,AB,140MG-G8P-D10,,"Breaker, Molded Case, 100A, G Frame, 480VAC, 65kAIC, Magnetic Only",807.98,Rexel,6/24/2025
MCCB-MAG,140MG,125A,,AB,140MG-G8P-D12,,"Breaker, Molded Case, 125A, G Frame, 480VAC, 65kAIC, Magnetic Only",807.98,Rexel,6/24/2025
CONTACTOR,100-C,30A,207-7757,AB,100-C30D10,,"Contactor, 30 Amp, 3-Pole, 120 Volt AC Coil, 1 Normally Open Auxiliary Contact",165.15,Rexel,6/24/2025
CONTACTOR,100-C,37A,,AB,100-C37D10,,"Contactor, 37 Amp, 3-Pole, 120 Volt AC Coil, 1 Normally Open Auxiliary Contact",192.79,Rexel,6/24/2025
CONTACTOR,100-C,43A,,AB,100-C43D10,,"Contactor, 43 Amp, 3-Pole, 120 Volt AC Coil, 1 Normally Open Auxiliary Contact",205.58,Rexel,6/24/2025
CONTACTOR,100-C,55A,,AB,100-C55D10,,"Contactor, 55 Amp, 3-Pole, 120 Volt AC Coil, 1 Normally Open Auxiliary Contact",233.24,Rexel,6/24/2025
CONTACTOR,100-C,72A,,AB,100-C72D10,,"Contactor, 72 Amp, 3-Pole, 120 Volt AC Coil, 1 Normally Open Auxiliary Contact",358.94,Rexel,6/24/2025
CONTACTOR,100-C,85A,,AB,100-C85D10,,"Contactor, 55 Amp, 3-Pole, 120 Volt AC Coil, 1 Normally Open Auxiliary Contact",438.99,Rexel,6/24/2025
CONTACTOR,100-C,97A,205-7290,AB,100-C97D10,,"Contactor, 97 Amp, 3-Pole, 120 Volt AC Coil, 1 Normally Open Auxiliary Contact",476.91,Rexel,6/24/2025
CONTACTOR,100-C,,,AB,100-FA20,,"Auxiliary Contact Block Front Mount, with 2 Normally Open Contact",22.02,Rexel,6/24/2025
OL,,,,AB,193-ESM-I-30A-C55,,"Sensing Module, Current, Overload Relay, 0.5 -30 Amp, for use with 100-C09 - C23",128.41,Rexel,6/24/2025
OL,,,,AB,193-ESM-I-60A-C55,,"Sensing Module, Current, Overload Relay, 6 - 60 Amp, for use with 100-C30 - C55",204.33,Rexel,6/24/2025
OL,,,,AB,193-ESM-I-100A-C97,,"Sensing Module, Current, Overload Relay, 10 - 100 Amp, for use with 100-C60 - C97",281.2,Rexel,6/24/2025
OL,,,206-3111,AB,193-ECM-ETR,,"Overload Relay, Electronic, Communications Module, EtherNet/IP",234.52,Rexel,6/24/2025
OL,,,,AB,193-EIO-22-120,,"E300 Overload Relays (193/592 IEC/NEMA), 2 IN / 2 Out Control Module, 120 Volt AC",162.5,Rexel,6/24/2025
CAB,,,,HOFFMAN,AU84X4024BLP,,"1Dr, 84x40x24 BothSideOpen","1,900.36",Rexel,6/24/2025
CAB,,,,HOFFMAN,AU84X4024LLP,,"1Dr, 84x40x24 LeftSideOpen","1,931.51",Rexel,6/24/2025
CAB,,,,HOFFMAN,AU84X4024RLP,,"1Dr, 84x40x24 RightSideOpen","1,900.36",Rexel,6/24/2025
CAB,,,,HOFFMAN,AU84X7824BLP,,"2Dr, 84x40x24 BothSideOpen","3,325.05",Rexel,6/24/2025
CAB,,,,HOFFMAN,AU84X7824LLP,,"2Dr, 84x78x24 LeftSideOpen","3,353.41",Rexel,6/24/2025
CAB,,,,HOFFMAN,AU84X7824RLP,,"2Dr, 84x40x24 RightSideOpen","3,325.05",Rexel,6/24/2025
CAB,,,206-5845,HOFFMAN,A84PM40,,"Panel For Large Multi-Door Enclosure, 72 Inch x 33.75 Inch, Material: Steel, White Powder Coat",239.67,Rexel,6/24/2025
CAB,,,206-1772,HOFFMAN,A84PM78,,"Panel For Enclosure, 72 x 72 Inch, Fits Enclosure Height of 84 Inch, Steel, With White Powder Coat Finish",471.08,Rexel,6/24/2025
CAB,,,,HOFFMAN,A84PM40G,,"Panel For Enclosure, 72 x 34 Inch, Steel, Conductive Finish, For Use With Large Multi-Door Enclosures",251.66,Rexel,6/24/2025
CAB,,,,HOFFMAN,A84PM78G,,"Panels for Large Bulletin A27, A28, A28S4 and A34 Multi-Door Enclosures, fits 84x Dbl Bay, Steel",909.52,Rexel,6/24/2025
CAB,,,207-0680,HOFFMAN,AEK115,,"Electrical Interlock, 120 Volt/60Hz, Used With Door Latching Mechanisms on All Two Door Type 4/12 Enclosures",215.16,Rexel,6/24/2025
CAB,,,207-3034,HOFFMAN,LEDA2M35,,LED Light Kit,184.51,Rexel,6/24/2025
CAB,,,201-1611,HOFFMAN,ATEMNO,,"Thermostat with N.O. contacts,",61.59,Rexel,6/24/2025
CAB,,,207-4789,HOFFMAN,AU8424FGK,,Baying Kit is used to bay multiple Universal Free-Stand Enclosures together,95.32,Rexel,6/24/2025
CAB,,,207-4788,HOFFMAN,AU8424FEP,,"Universal Free-Stand Flat End Plate, Gray, Steel",437.08,Rexel,6/24/2025
CAB,,,201-1799,HOFFMAN,A363612LP,,"Wall Mount Enclosure, NEMA 12/13, Continuous Hinge Cover With Clamps, 36 x 36 x 12 Inch, Steel With Gray Powder Coat Finish",572.97,Rexel,6/30/2025
CAB,,,201-1790,HOFFMAN,A36P36,,"Panel For Enclosure, 33"" x 33"", Type 3R, 4, 4X, 12/13, Steel, White Powder Coat Finish",124.98,Rexel,6/30/2025
CAB,,,206-4516,HOFFMAN,CSD243010LG,,"Wall-Mount Type 4/12 Enclosure, Bulletin Cw1 (concept? Wall-mount Enclosure), Size/dims: 24.00x30.00x10.00, Material/finish: Steel/ltgray",308.2,Rexel,6/30/2025
CAB,,,204-3230,HOFFMAN,CP3024,,"Panel For Concept Enclosure, 30"" x 24"", Steel",66.53,Rexel,6/30/2025
CAB,,,204-0724,HOFFMAN,A303008LP,,"Wall Mount Enclosure, NEMA 12/13, Continuous Hinge Cover With Clamps, 30 x 30 x 8 Inch, Steel With Gray Powder Coat Finish",420.29,Rexel,7/1/2025
CAB,,,201-1792,HOFFMAN,A30P30,,"Panel For Enclosure, 30"" x 30"", Type 3R, 4, 4X, 12/13, Steel, White Powder Coat Finish",93.84,Rexel,7/1/2025
MPCB,140MT,,207-6940,AB,140MT-C3E-A16-KY-BX,,"Motor Protection Breaker, Standard Magnetic Trip, 0.1 - 0.16A, Standard. Performance, Frame Size C",128.57,Rexel,6/24/2025
MPCB,140MT,,207-3075,AB,140MT-C3E-A63-KY-BX,,"Motor Protection Breaker, Standard Magnetic Trip, 0.4 - 0.63A, Standard. Performance, Frame Size C",171.81,Rexel,6/24/2025
COOLING,,,205-6474,HOFFMAN,HF1316424,,"HF Side Mount Filter Fans, 115V, 484 CFM, NEMA 12, ABS/Light Gray Finish",295.87,Rexel,6/24/2025
COOLING,,,207-4332,HOFFMAN,HG1300404,,"Exhaust Grille, IP54, Diameter: 13"", Material: Thermoplastic",53.79,Rexel,6/24/2025
COOLING,,,201-1598,HOFFMAN,TFP41,,"Cooling Fan Package, 4 inch, 115V, 50/60Hz, Material/Finish: ABS/LtGray.",169.39,Rexel,6/30/2025
COOLING,,,201-1700,HOFFMAN,TEP4,,"Exhaust Grille, Size/Dims: fits 4 in",76.44,Rexel,6/30/2025
MCCB,,,207-0642,EATON,PDG63M2000E2NN,,"SERIES PD, FRAME SIZE 6 CIRCUIT BREAKER, 2000 AMP, ADJUSTABLE TRIP, 1000A-2000A","5,233.15",BRENNER,10/7/2024
MCCB,,,207-0643,EATON,PDG6XFS06,,FLEX CABLE DISCONNECT,399.7,BRENNER,5/8/2025
MCCB,,,207-0644,EATON,PDG6X3TA2000,,LINE / LOAD LUGS FOR FRAME 6 CIRCUIT BREAKER,"2,034.78",GALCO,1/8/2025
PDB,,,206-3115,AB,1492-PD3287,,"1492 POWER DISTRIBUTION BLOCK, 3-POLE, ALUMINUM, 2 INCOMMING, 8 OUTGOING, 760A",223.48,Rexel,6/24/2025
PDB,,,205-5450,AB,1492-PBC3,,"Distribution Block, Cover, 1P, for 380 - 760 Amp",11.02,Rexel,6/24/2025
XFMR-Ctrl,,1000,201-4200,SOLA HD,HZ1000,,"HSZ Series Industrial Control Transformers 1kVA, 480/240 x 120/115v, 50/60 Hz",568.74,Rexel,6/24/2025
XFMR-Ctrl,,1500,,SOLA HD,HZ1500,,"HSZ Series Industrial Control Transformers 1.5kVA, 480/240 x 120/115v, 50/60 Hz",935.37,Rexel,6/24/2025
XFMR-Ctrl,,2000,,SOLA HD,HZ2000,,"HSZ Series Industrial Control Transformers 2kVA, 480/240 x 120/115v, 50/60 Hz","1,234",Rexel,6/24/2025
XFMR-Ctrl,,3000,,SOLA HD,HZ3000,,"HSZ Series Industrial Control Transformers 3kVA, 480/240 x 120/115v, 50/60 Hz","1,680.79",Rexel,6/24/2025
XFMR-Ctrl,,5000,,SOLA HD,HZ5000,,"HSZ Series Industrial Control Transformers 5kVA, 480/240 x 120/115v, 50/60 Hz","1,573.91",Rexel,6/24/2025
CAB,1492,15A,205-6661,AB,1492-REC15,,"DIN Rail, Mounted Duplex Receptacle, 15 Amp, 125 Volt AC",26.7,Rexel,6/30/2025
MISC,,,,,MISC250,,Misc Components,250,-,6/24/2025
MISC,,,,,MISC500,,Misc Components,500,-,6/24/2025
MISC,,,,,MISC750,,Misc Components,750,-,6/24/2025
MISC,,,,,MISC1000,,Misc Components,"1,000",-,6/24/2025
MCCB,,M Frame,207-3517,AB,140G-M6F3-D60,,"Breaker, Molded Case, 600 Amp, 3-Pole, 600 Volt AC, 65 kAIC, M Frame, Thermal Magnetic, Adjustable, ","5,015.41",,6/24/2025
MCCB,,M Frame,205-8335,AB,140G-M-FMX04,,"Breaker, Molded Case, 4 Foot, Flange Cable, Operating Mechanism, Plastic Actuator, Painted Metal Handle",528.76,,6/24/2025
MCCB,,M Frame,206-3117,AB,140G-M-TLA23,,"Breaker, Molded Case, M Frame, Terminal Lugs, 2 x 250 - 500 MCM, AL/CU, 3 Per Package",166.64,,6/24/2025
Assy-Labor,,,,,LaborVFD,,Panel Shop Assembly Per Door Estimated,"3,500",,6/24/2025
Assy-Labor,,,,,LaborIO,,Panel Shop Assembly Per Door Estimated,"4,500",,6/24/2025
Assy-Labor,,,,,LaborIOWall_Mt,,Panel Shop Assembly Per Door Estimated,"2,500",,6/24/2025
